latitud,longitud,demanda
"-11.982660","-77.058590","N - Terminal Naranjal: 65911"
"-11.989239","-77.056986","36 - Estación Izaguirre: 27567"
"-11.994617","-77.055963","35 - Estación Pacífico: 7837"
"-11.998316","-77.055193","34 - Estación Independencia: 18240"
"-11.999215","-77.055085","33 - Estación Los Jazmines: 8759"
"-12.006044","-77.053984","32 - Estación Tomás Valle: 28980"
"-12.011530","-77.052876","31 - Estación El Milagro: 9488"
"-12.017446","-77.051488","30 - Estación Honorio Delgado: 17806"
"-12.024153","-77.048881","29 - Estación UNI: 15028"
"-12.029533","-77.044219","28 - Estación Parque del Trabajo: 9824"
"-12.036288","-77.043657","27 - Estación Caquetá: 13968"
"-12.044195","-77.040979","26 - Estación Ramón Castilla: 12905"
"-12.046501","-77.037169","22 - Estación Tacna: 9450"
"-12.047160","-77.042706","25 - Estación 2 de Mayo: 6732"
"-12.049139","-77.032938","21 - Estación Jirón de la Unión: 8190"
"-12.051892","-77.042290","24 - Estación Quilca: 7758"
"-12.052270","-77.032826","20 - Estación Colmena: 7560"
"-12.057073","-77.041827","23 - Estación España: 23640"
"-12.057612","-77.035955","EC - Estación Central: 31644"
"-12.068801","-77.031973","19 - Estación Estadio Nacional: 11088"
"-12.076568","-77.029009","18 - Estación México: 7245"
"-12.082222","-77.026660","17 - Estación Canadá: 11557"
"-12.090499","-77.022886","16 - Estación Javier Prado: 33175"
"-12.093898","-77.023684","15 - Estación Andrés Reyes: 5985"
"-12.096778","-77.025147","14 - Estación Canaval y Moreyra: 30597"
"-12.102201","-77.027224","12 - Estación Domingo Orué: 6930"
"-12.108417","-77.026438","13 - Estación Aramburú: 10186"
"-12.113228","-77.025300","11 - Estación Angamos: 32420"
"-12.118900","-77.025948","10 - Estación Ricardo Palma: 17005"
"-12.124752","-77.024271","9 - Estación Benavides: 25975"
"-12.129349","-77.022811","8 - Estación 28 de Julio: 9746"
"-12.135600","-77.018675","7 - Estación Plaza de Flores: 14688"
"-12.141091","-77.017752","6 - Estación Balta: 9702"
"-12.148344","-77.020108","5 - Estación Bulevar: 8316"
"-12.152801","-77.019736","4 - Estación Estadio Unión: 10164"
"-12.159440","-77.018940","3 - Estación Escuela Militar: 9702"
"-12.168321","-77.018770","2 - Estación Terán: 8778"
"-12.172686","-77.015368","1 - Estación Rosario de Villa: 8316"
"-12.179377","-77.009522","M - Terminal Matellini: 22914"
