id,nombre,tipo,distrito
"1","N - Terminal Naranjal","Troncal Norte","7"
"2","36 - Estación Izaguirre","Troncal Norte","7"
"3","35 - Estación Pacífico","Troncal Norte","7"
"4","34 - Estación Independencia","Troncal Norte","7"
"5","33 - Estación Los Jazmines","Troncal Norte","7"
"6","32 - Estación Tomás Valle","Troncal Norte","7"
"7","31 - Estación El Milagro","Troncal Norte","8"
"8","30 - Estación Honorio Delgado","Troncal Norte","8"
"9","29 - Estación UNI","Troncal Norte","25"
"10","28 - Estación Parque del Trabajo","Troncal Norte","25"
"11","27 - Estación Caquetá","Troncal Norte","25"
"12","26 - Estación Ramón Castilla","Troncal Centro","21"
"13","22 - Estación Tacna","Troncal Centro","21"
"14","21 - Estación Jirón de la Unión","Troncal Centro","21"
"15","20 - Estación Colmena","Troncal Centro","21"
"16","25 - Estación 2 de Mayo","Troncal Centro","21"
"17","24 - Estación Quilca","Troncal Centro","21"
"18","23 - Estación España","Troncal Centro","21"
"19","EC - Estación Central","Troncal Centro","21"
"20","19 - Estación Estadio Nacional","Troncal Sur","24"
"21","18 - Estación México","Troncal Sur","24"
"22","17 - Estación Canadá","Troncal Sur","26"
"23","16 - Estación Javier Prado","Troncal Sur","26"
"24","15 - Estación Andrés Reyes","Troncal Sur","36"
"25","14 - Estación Canaval y Moreyra","Troncal Sur","36"
"26","13 - Estación Aramburú","Troncal Sur","32"
"27","12 - Estación Domingo Orué","Troncal Sur","35"
"28","11 - Estación Angamos","Troncal Sur","35"
"29","10 - Estación Ricardo Palma","Troncal Sur","35"
"30","9 - Estación Benavides","Troncal Sur","32"
"31","8 - Estación 28 de Julio","Troncal Sur","32"
"32","7 - Estación Plaza de Flores","Troncal Sur","31"
"33","6 - Estación Balta","Troncal Sur","31"
"34","5 - Estación Bulevar","Troncal Sur","31"
"35","4 - Estación Estadio Unión","Troncal Sur","31"
"36","3 - Estación Escuela Militar","Troncal Sur","37"
"37","2 - Estación Terán","Troncal Sur","37"
"38","1 - Estación Rosario de Villa","Troncal Sur","37"
"39","M - Terminal Matellini","Troncal Sur","37"
"40","AN01 Tahuantinsuyo","Troncal Norte","7"
"41","AN02 Tungasuca","Troncal Norte","7"
"42","AN03 Trapiche","Troncal Norte","7"
"43","AN04 Collique","Troncal Norte","7"
"44","AN05 Payet","Troncal Norte","7"
"45","AN06 Puno","Troncal Norte","7"
"46","AN07 Belaúnde","Troncal Norte","7"
"47","AN08 Milagros de Jesús","Troncal Norte","7"
"48","AN09 Carabayllo","Troncal Norte","7"
"49","AN10 Santo Domingo","Troncal Norte","7"
"50","AN12 Puente Piedra","Troncal Norte","7"
"51","AN13 La Ensenada","Troncal Norte","7"
"52","AN14 Bertello","Troncal Norte","7"
"53","AN15 Los Alisos","Troncal Norte","7"
"54","AN16 Los Olivos","Troncal Norte","7"
"55","AN17 Antúnez de Mayolo","Troncal Norte","7"
"56","AN18 Izaguirre","Troncal Norte","7"
"57","AS02 Cedros de Villa","Troncal Sur","37"
"58","AS04 Villa El Salvador","Troncal Sur","37"
"59","AS07 América","Troncal Sur","37"
"60","AS08 Los Próceres","Troncal Sur","37"
"61","AS10 Circuito de Playas I","Troncal Sur","37"
"62","AS11 Circuito de Playas II","Troncal Sur","37"
