id,nombre
"1","Regular A"
"2","Regular B"
"3","Regular C"
"4","Regular D"
"5","Expreso 1"
"6","Expreso 2"
"7","Expreso 3"
"8","Expreso 4"
"9","Expreso 5"
"10","Expreso 6"
"11","Expreso 7"
"12","Expreso 8"
"13","Expreso 9"
"14","Súper Expreso"
"15","Súper Expreso Norte"
"16","Alimentador 1"
"17","Alimentador 2"
"18","Alimentador 3"
"19","Alimentador 4"
"20","Alimentador 5"
"21","Alimentador 6"
"22","Alimentador 7"
"23","Alimentador 8"
"24","Alimentador 9"
"25","Alimentador 10"
"26","Alimentador 11"
"27","Alimentador 12"
"28","Alimentador 13"
"29","Alimentador 14"
"30","Alimentador 15"
"31","Alimentador 16"
"32","Alimentador 17"
"33","Alimentador 18"
"34","Alimentador 19"
"35","Alimentador 20"
"36","Alimentador 21"
"37","Alimentador 22"
"38","Alimentador 23"
